Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C17","0.1uF","C_0402_1005Metric",152.646935,-83.982155,-45.000000,bottom
"LED19","4691","4691",129.606346,-107.333566,-90.000000,bottom
"LED20","4691","4691",171.206346,-107.263566,90.000000,bottom
"SW1","TS-1187A-B-A-B","SW_TS-1187A-B-A-B",162.493556,-125.730156,33.000000,bottom
"SW2","TS-1187A-B-A-B","SW_TS-1187A-B-A-B",138.506346,-125.791566,-33.000000,bottom
"U1","ATtiny1616-M","VQFN-20-1EP_3x3mm_P0.4mm_EP1.7x1.7mm",150.397336,-85.651185,-135.000000,bottom
"C1","0.1uF","C_0402_1005Metric",146.726347,-84.171564,90.000000,top
"C2","0.1uF","C_0402_1005Metric",143.776346,-88.781566,19.000000,top
"C3","0.1uF","C_0402_1005Metric",135.836346,-92.961566,-45.000000,top
"C4","0.1uF","C_0402_1005Metric",127.046346,-102.021566,-102.000000,top
"C5","0.1uF","C_0402_1005Metric",130.276345,-107.541568,90.000000,top
"C6","0.1uF","C_0402_1005Metric",127.109336,-112.632519,104.000000,top
"C7","0.1uF","C_0402_1005Metric",135.726346,-121.761566,45.000000,top
"C8","0.1uF","C_0402_1005Metric",137.701674,-127.539646,150.000000,top
"C9","0.1uF","C_0402_1005Metric",146.406346,-130.881566,171.000000,top
"C10","0.1uF","C_0402_1005Metric",155.732519,-130.590664,-165.000000,top
"C11","0.1uF","C_0402_1005Metric",164.239556,-126.777101,-144.000000,top
"C12","0.1uF","C_0402_1005Metric",169.546346,-114.751566,158.000000,top
"C13","0.1uF","C_0402_1005Metric",173.958434,-111.286346,-98.000000,top
"C14","0.1uF","C_0402_1005Metric",173.656346,-101.971566,-76.000000,top
"C15","0.1uF","C_0402_1005Metric",164.886346,-92.841566,-135.000000,top
"C16","0.1uF","C_0402_1005Metric",158.416346,-88.501566,-114.000000,top
"LED1","4691","4691",150.334346,-83.631566,180.000000,top
"LED2","4691","4691",141.281826,-85.458343,-157.500000,top
"LED3","4691","4691",133.617465,-90.610314,-135.000000,top
"LED4","4691","4691",128.508094,-98.303139,-112.500000,top
"LED5","4691","4691",126.731566,-107.365654,-90.000000,top
"LED6","4691","4691",128.558343,-116.418174,-67.500000,top
"LED7","4691","4691",133.710314,-124.082535,-45.000000,top
"LED8","4691","4691",141.403139,-129.191906,-22.500000,top
"LED9","4691","4691",150.465654,-130.968434,0.000000,top
"LED10","4691","4691",159.518174,-129.141657,22.500000,top
"LED11","4691","4691",167.182535,-123.989686,45.000000,top
"LED12","4691","4691",172.291906,-116.296861,67.500000,top
"LED13","4691","4691",174.068434,-107.234346,90.000000,top
"LED14","4691","4691",172.241657,-98.181826,112.500000,top
"LED15","4691","4691",167.089686,-90.517465,135.000000,top
"LED16","4691","4691",159.396861,-85.408094,157.500000,top
"LED17","4691","4691",150.328346,-86.821566,0.000000,top
"LED18","4691","4691",150.484346,-127.861566,180.000000,top
